pattern,fix_type,support,co_count,p_ft_given_pat,base_rate,lift
ATTRIBUTE → ASSIGN → FOR,refactor,7,1,0.143,0.043,3.297
RETURN → FOR → RETURN,refactor,7,1,0.143,0.043,3.297
WHILE → ASSIGN → ASSIGN,type_coercion,7,1,0.143,0.043,3.297
STRING_LITERAL → RETURN,import_fix,61,2,0.033,0.01,3.279
IF → FUNCTION,test_fix,37,2,0.054,0.017,3.243
IF → FUNCTION → IDENTIFIER,test_fix,37,2,0.054,0.017,3.243
IDENTIFIER → STRING_LITERAL → CALL,test_fix,37,2,0.054,0.017,3.243
ASSIGN → FOR → RETURN,loop_fix,93,1,0.011,0.003,3.226
CALL → IF → CALL,config_fix,14,3,0.214,0.067,3.214
CLASS → IDENTIFIER → STRING_LITERAL,test_fix,56,3,0.054,0.017,3.214
NUMBER → STRING_LITERAL → RETURN,guard_clause,11,2,0.182,0.057,3.209
IDENTIFIER → STRING_LITERAL → ASSIGN,test_fix,57,3,0.053,0.017,3.158
IDENTIFIER → IDENTIFIER → RETURN,import_fix,32,1,0.031,0.01,3.125
RETURN → IDENTIFIER → FUNCTION,import_fix,32,1,0.031,0.01,3.125
CALL → IF → IDENTIFIER,import_fix,32,1,0.031,0.01,3.125
NUMBER → ASSIGN → IF,string_fix,8,1,0.125,0.04,3.125
IF → STRING_LITERAL → IDENTIFIER,string_fix,16,2,0.125,0.04,3.125
RETURN → RETURN → CALL,type_coercion,15,2,0.133,0.043,3.077
STRING_LITERAL → ASSIGN,async_fix,98,1,0.01,0.003,3.061
IDENTIFIER → CALL → CALL,async_fix,98,1,0.01,0.003,3.061
IF → IF → IDENTIFIER,import_fix,33,1,0.03,0.01,3.03
STRING_LITERAL → NUMBER → STRING_LITERAL,config_fix,10,2,0.2,0.067,3.0
FOR → IDENTIFIER → CALL,test_fix,20,1,0.05,0.017,3.0
CALL → FOR,other,20,1,0.05,0.017,3.0
IDENTIFIER → IF → ATTRIBUTE,config_fix,5,1,0.2,0.067,3.0
NUMBER → IDENTIFIER → NUMBER,other,20,1,0.05,0.017,3.0
RETURN → IDENTIFIER → NUMBER,config_fix,5,1,0.2,0.067,3.0
IF → STRING_LITERAL → STRING_LITERAL,config_fix,5,1,0.2,0.067,3.0
IDENTIFIER → ASSIGN → IDENTIFIER,string_fix,42,5,0.119,0.04,2.976
CALL → NUMBER → IDENTIFIER,exception_handling,9,3,0.333,0.113,2.941
STRING_LITERAL → IDENTIFIER → ASSIGN,import_fix,34,1,0.029,0.01,2.941
ASSIGN → IF → ATTRIBUTE,exception_handling,9,3,0.333,0.113,2.941
CALL → ASSIGN → CALL,exception_handling,12,4,0.333,0.113,2.941
IDENTIFIER → IDENTIFIER → FUNCTION,async_fix,102,1,0.01,0.003,2.941
IDENTIFIER → NUMBER → ATTRIBUTE,exception_handling,6,2,0.333,0.113,2.941
IMPORT → FROM → RETURN,exception_handling,6,2,0.333,0.113,2.941
FROM → RETURN,exception_handling,6,2,0.333,0.113,2.941
IF → IDENTIFIER → IDENTIFIER,import_fix,34,1,0.029,0.01,2.941
FOR → IF → ASSIGN,import_fix,34,1,0.029,0.01,2.941
IDENTIFIER → NUMBER → STRING_LITERAL,exception_handling,18,6,0.333,0.113,2.941
ASSIGN → IDENTIFIER → NUMBER,exception_handling,6,2,0.333,0.113,2.941
IF → ATTRIBUTE,import_fix,34,1,0.029,0.01,2.941
WHILE → ASSIGN → IF,exception_handling,6,2,0.333,0.113,2.941
IF → IF → IF,loop_fix,102,1,0.01,0.003,2.941
CALL → NUMBER → CALL,type_coercion,8,1,0.125,0.043,2.885
RETURN → ASSIGN → CALL,refactor,8,1,0.125,0.043,2.885
IDENTIFIER → IDENTIFIER → STRING_LITERAL,async_fix,104,1,0.01,0.003,2.885
IF → RETURN → FUNCTION,refactor,8,1,0.125,0.043,2.885
RETURN → IF → ATTRIBUTE,type_coercion,8,1,0.125,0.043,2.885
ASSIGN → ATTRIBUTE → STRING_LITERAL,refactor,8,1,0.125,0.043,2.885
STRING_LITERAL → RETURN → ASSIGN,type_coercion,8,1,0.125,0.043,2.885
STRING_LITERAL → ASSIGN → FOR,type_coercion,8,1,0.125,0.043,2.885
FUNCTION → IDENTIFIER → IMPORT,other,21,1,0.048,0.017,2.857
CALL → IF → IF,import_fix,35,1,0.029,0.01,2.857
IDENTIFIER → CALL → FUNCTION,other,21,1,0.048,0.017,2.857
IDENTIFIER → NUMBER → ASSIGN,other,21,1,0.048,0.017,2.857
ASSIGN → RETURN → STRING_LITERAL,other,21,1,0.048,0.017,2.857
IDENTIFIER → IF → ASSIGN,string_fix,44,5,0.114,0.04,2.841
IF → RETURN → ASSIGN,loop_fix,106,1,0.009,0.003,2.83
ASSIGN → IDENTIFIER → STRING_LITERAL,api_change,11,3,0.273,0.097,2.821
ASSIGN → RETURN → IDENTIFIER,import_fix,71,2,0.028,0.01,2.817
STRING_LITERAL → STRING_LITERAL → STRING_LITERAL,other,43,2,0.047,0.017,2.791
ASSIGN → ASSIGN → FOR,loop_fix,108,1,0.009,0.003,2.778
FOR → RETURN,loop_fix,108,1,0.009,0.003,2.778
RETURN → ASSIGN → FUNCTION,string_fix,9,1,0.111,0.04,2.778
FROM → ASSIGN → IF,other,22,1,0.045,0.017,2.727
STRING_LITERAL → IDENTIFIER → CALL,async_fix,110,1,0.009,0.003,2.727
ASSIGN → ATTRIBUTE → IDENTIFIER,exception_handling,13,4,0.308,0.113,2.715
IDENTIFIER → STRING_LITERAL → IF,guard_clause,13,2,0.154,0.057,2.715
ASSIGN → CLASS,other,112,5,0.045,0.017,2.679
ASSIGN → CLASS → IDENTIFIER,other,112,5,0.045,0.017,2.679
FOR → IF → RETURN,string_fix,28,3,0.107,0.04,2.679
FROM → IMPORT → IMPORT,loop_fix,113,1,0.009,0.003,2.655
FROM → ASSIGN → FOR,exception_handling,10,3,0.3,0.113,2.647
STRING_LITERAL → CALL → IDENTIFIER,type_coercion,35,4,0.114,0.043,2.637
CALL → IDENTIFIER → IDENTIFIER,async_fix,114,1,0.009,0.003,2.632
CALL → CALL,async_fix,114,1,0.009,0.003,2.632
NUMBER → ASSIGN,other,23,1,0.043,0.017,2.609
STRING_LITERAL → ATTRIBUTE → STRING_LITERAL,test_fix,23,1,0.043,0.017,2.609
STRING_LITERAL → IDENTIFIER → IDENTIFIER,async_fix,115,1,0.009,0.003,2.609
RETURN → CALL → ASSIGN,other,23,1,0.043,0.017,2.609
RETURN → IDENTIFIER → ASSIGN,import_fix,77,2,0.026,0.01,2.597
CALL → IDENTIFIER → FUNCTION,api_change,8,2,0.25,0.097,2.586
FUNCTION → IDENTIFIER → STRING_LITERAL,async_fix,116,1,0.009,0.003,2.586
ATTRIBUTE → ASSIGN → ASSIGN,config_fix,29,5,0.172,0.067,2.586
IF → RETURN → FOR,refactor,9,1,0.111,0.043,2.564
ATTRIBUTE → IDENTIFIER,async_fix,117,1,0.009,0.003,2.564
CALL → STRING_LITERAL → ATTRIBUTE,exception_handling,7,2,0.286,0.113,2.521
RETURN → IDENTIFIER → IF,config_fix,36,6,0.167,0.067,2.5
ATTRIBUTE → STRING_LITERAL → IDENTIFIER,import_fix,40,1,0.025,0.01,2.5
RETURN → FOR → ASSIGN,config_fix,6,1,0.167,0.067,2.5
CALL → CALL → IF,string_fix,20,2,0.1,0.04,2.5
ASSIGN → IF → FOR,string_fix,30,3,0.1,0.04,2.5
FOR → RETURN → IMPORT,string_fix,10,1,0.1,0.04,2.5
ATTRIBUTE → ASSIGN → IDENTIFIER,config_fix,6,1,0.167,0.067,2.5
ATTRIBUTE → IF,string_fix,10,1,0.1,0.04,2.5
ATTRIBUTE → ASSIGN → FUNCTION,config_fix,6,1,0.167,0.067,2.5
STRING_LITERAL → IDENTIFIER → IMPORT,string_fix,10,1,0.1,0.04,2.5
FUNCTION → IDENTIFIER → IF,other,49,2,0.041,0.017,2.449
IDENTIFIER → IDENTIFIER → IF,import_fix,41,1,0.024,0.01,2.439
ATTRIBUTE → STRING_LITERAL → CALL,refactor,19,2,0.105,0.043,2.429
ATTRIBUTE → ATTRIBUTE → ATTRIBUTE,config_fix,31,5,0.161,0.067,2.419
FROM → ASSIGN → FUNCTION,config_fix,31,5,0.161,0.067,2.419
FUNCTION → IDENTIFIER → ATTRIBUTE,config_fix,31,5,0.161,0.067,2.419
CALL → IDENTIFIER → CALL,async_fix,124,1,0.008,0.003,2.419
RETURN → RETURN → RETURN,other,50,2,0.04,0.017,2.4
ASSIGN → IF → RETURN,async_fix,125,1,0.008,0.003,2.4
RETURN → ASSIGN → IF,type_coercion,87,9,0.103,0.043,2.387
CALL → RETURN → IDENTIFIER,type_coercion,29,3,0.103,0.043,2.387
ASSIGN → FOR → FOR,type_coercion,29,3,0.103,0.043,2.387
FOR → IDENTIFIER,guard_clause,45,6,0.133,0.057,2.353
CALL → CALL → STRING_LITERAL,string_fix,32,3,0.094,0.04,2.344
RETURN → ASSIGN → ASSIGN,loop_fix,128,1,0.008,0.003,2.344
prompt → IMPORT → FROM,loop_fix,128,1,0.008,0.003,2.344
IDENTIFIER → CALL → RETURN,exception_handling,49,13,0.265,0.113,2.341
CALL → IDENTIFIER → ASSIGN,config_fix,45,7,0.156,0.067,2.333
IF → STRING_LITERAL,import_fix,43,1,0.023,0.01,2.326
IDENTIFIER → ATTRIBUTE → STRING_LITERAL,import_fix,43,1,0.023,0.01,2.326
ATTRIBUTE → IDENTIFIER → STRING_LITERAL,refactor,30,3,0.1,0.043,2.308
CALL → FUNCTION → IDENTIFIER,refactor,30,3,0.1,0.043,2.308
CALL → FUNCTION,refactor,30,3,0.1,0.043,2.308
IDENTIFIER → ATTRIBUTE,async_fix,131,1,0.008,0.003,2.29
IF → IF → ASSIGN,loop_fix,131,1,0.008,0.003,2.29
ASSIGN → ASSIGN → RETURN,other,132,5,0.038,0.017,2.273
ATTRIBUTE → ATTRIBUTE → IDENTIFIER,import_fix,44,1,0.023,0.01,2.273
CALL → CALL → ASSIGN,string_fix,22,2,0.091,0.04,2.273
IF → FOR → FOR,string_fix,11,1,0.091,0.04,2.273
IDENTIFIER → NUMBER → IDENTIFIER,other,53,2,0.038,0.017,2.264
ASSIGN → RETURN → ASSIGN,type_coercion,82,8,0.098,0.043,2.251
ATTRIBUTE → ATTRIBUTE → CALL,config_fix,20,3,0.15,0.067,2.25
IDENTIFIER → RETURN,loop_fix,134,1,0.007,0.003,2.239
FOR → ASSIGN → FOR,exception_handling,20,5,0.25,0.113,2.206
CALL → ATTRIBUTE → ASSIGN,exception_handling,8,2,0.25,0.113,2.206
NUMBER → STRING_LITERAL → NUMBER,guard_clause,8,1,0.125,0.057,2.206
IF → STRING_LITERAL → ASSIGN,guard_clause,8,1,0.125,0.057,2.206
RETURN → RETURN,loop_fix,136,1,0.007,0.003,2.206
CALL → ASSIGN → RETURN,exception_handling,16,4,0.25,0.113,2.206
ASSIGN → ASSIGN → WHILE,string_fix,34,3,0.088,0.04,2.206
CALL → RETURN → IF,exception_handling,12,3,0.25,0.113,2.206
ATTRIBUTE → RETURN,exception_handling,16,4,0.25,0.113,2.206
RETURN → CALL → IDENTIFIER,refactor,21,2,0.095,0.043,2.198
STRING_LITERAL → CALL → CALL,type_coercion,21,2,0.095,0.043,2.198
IDENTIFIER → ATTRIBUTE → IDENTIFIER,import_fix,91,2,0.022,0.01,2.198
IDENTIFIER → IMPORT → FROM,import_fix,46,1,0.022,0.01,2.174
IDENTIFIER → ATTRIBUTE → ASSIGN,type_coercion,32,3,0.094,0.043,2.163
IF → ASSIGN → IDENTIFIER,config_fix,14,2,0.143,0.067,2.143
IDENTIFIER → RETURN → CALL,config_fix,14,2,0.143,0.067,2.143
ASSIGN → IF → IDENTIFIER,string_fix,47,4,0.085,0.04,2.128
RETURN → FOR,guard_clause,25,3,0.12,0.057,2.118
CALL → ASSIGN → IDENTIFIER,exception_handling,21,5,0.238,0.113,2.101
FUNCTION → IDENTIFIER → FOR,refactor,11,1,0.091,0.043,2.098
FOR → FOR,type_coercion,44,4,0.091,0.043,2.098
ASSIGN → IF → ASSIGN,loop_fix,143,1,0.007,0.003,2.098
FOR → FOR → RETURN,type_coercion,22,2,0.091,0.043,2.098
STRING_LITERAL → RETURN → RETURN,string_fix,12,1,0.083,0.04,2.083
ASSIGN → IDENTIFIER → ATTRIBUTE,exception_handling,17,4,0.235,0.113,2.076
WHILE → FOR,api_change,5,1,0.2,0.097,2.069
RETURN → RETURN → IDENTIFIER,other,58,2,0.034,0.017,2.069
RETURN → IF,loop_fix,145,1,0.007,0.003,2.069
IDENTIFIER → CALL → IF,config_fix,66,9,0.136,0.067,2.045
FROM → IF → ASSIGN,type_coercion,34,3,0.088,0.043,2.036
IF → IDENTIFIER,import_fix,99,2,0.02,0.01,2.02
IDENTIFIER → ASSIGN → CLASS,test_fix,30,1,0.033,0.017,2.0
ASSIGN → ASSIGN → IDENTIFIER,test_fix,60,2,0.033,0.017,2.0
IDENTIFIER → IMPORT,import_fix,50,1,0.02,0.01,2.0
